text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"I love DWTS but they're wrecking @lizzo ""Good as Hell"" @DancingABC #dwts",FALSE,0,NA,2019-10-22T00:57:02Z,FALSE,NA,1186446328865406976,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",EWING_3,0,FALSE,FALSE,NA,NA
RT @seanspicer: Thanks @DonaldJTrumpJr     Need your votes tonight on @DancingABC Voting is open now.   Cast all 20 votes.  10 by texting S…,FALSE,0,NA,2019-10-22T00:57:00Z,FALSE,NA,1186446319352795136,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",brunettoburd,487,TRUE,FALSE,NA,NA
RT @seanspicer: Thank you @POTUS @realDonaldTrump    Appreciate all the votes on @DancingABC tonight.  Only votes between 8-10pm ET count.…,FALSE,0,NA,2019-10-22T00:56:59Z,FALSE,NA,1186446317846847488,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",HighlandReal,2101,TRUE,FALSE,NA,NA
This tour is gonna be amazing 😍#DWTS,FALSE,0,NA,2019-10-22T00:56:59Z,FALSE,NA,1186446317041733633,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",antoniaaa43,0,FALSE,FALSE,NA,NA
RT @seanspicer: Thanks @DonaldJTrumpJr     Need your votes tonight on @DancingABC Voting is open now.   Cast all 20 votes.  10 by texting S…,FALSE,0,NA,2019-10-22T00:56:57Z,FALSE,NA,1186446308506095617,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dragonwick2,487,TRUE,FALSE,NA,NA
"RT @KateFlannery: Someone in wardrobe has a sense of humor, but this time I kept my top on! #DWTS #TeamThatsWhatKateSaid https://t.co/9W1z6…",FALSE,0,NA,2019-10-22T00:56:56Z,FALSE,NA,1186446304593022976,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EthanPowell16,238,TRUE,FALSE,NA,NA
👏👏👏👏 hopefully I can see them on tour this year #DWTS,FALSE,0,NA,2019-10-22T00:56:56Z,FALSE,NA,1186446303821205505,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Asunti_D,0,FALSE,FALSE,NA,NA
@AllyBrooke voting for you my girl #Teamtime2shine #DWTS @WeLuvAllyB https://t.co/ONd8dDgXNV,FALSE,11,AllyBrooke,2019-10-22T00:56:56Z,FALSE,NA,1186446303053701121,27776098,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",abhspain,4,FALSE,FALSE,NA,NA
RT @seanspicer: Thank you for all of the support. I’m up 7th on @DancingABC tonight.  Please vote right at 8pm ET 20 times. Text SEAN 10 ti…,FALSE,0,NA,2019-10-22T00:56:55Z,FALSE,NA,1186446301237350402,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JeffBerk3,705,TRUE,FALSE,NA,NA
HECK YEAH DANCE TO LIZZO FOR THE TOUR NUMBER #DWTS,FALSE,1,NA,2019-10-22T00:56:55Z,FALSE,NA,1186446300205768705,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NYCChloe,0,FALSE,FALSE,NA,NA
