text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @gmilasbp: QUE TODO EL MUNDO SE DE CUENTA! ASI ESTA CONCEPCION, CHILE EN ESTOS MOMENTOS.   #EstoNoHaTerminado https://t.co/GZlD6hTEIY",FALSE,0,NA,2019-10-27T02:05:40Z,FALSE,NA,1188275541465554948,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ederveich,960,TRUE,FALSE,NA,NA
RT @Ro_SaavedraM: Plaza Ñuñoa #EstoNoHaTerminado https://t.co/ZkytUWqMCO,FALSE,0,NA,2019-10-27T02:05:40Z,FALSE,NA,1188275541117460486,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ivetteacastro,148,TRUE,FALSE,NA,NA
"RT @Javiera75265145: #EstoNoHaTerminado
#EstoNoHaTerminado
#EstoNoHaTerminado 
Cárcel para políticos y empresarios, no más impunidad 👊🏻 htt…",FALSE,0,NA,2019-10-27T02:05:40Z,FALSE,NA,1188275538055585793,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",roro_patagonia,1,TRUE,FALSE,NA,NA
"RT @Eliana1Maipu: #EstoNoHaTerminado
Hoy gran Cacerolazo en todo Chile https://t.co/Rt2Aiml2WQ",FALSE,0,NA,2019-10-27T02:05:39Z,FALSE,NA,1188275537485160448,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",jrcapi,147,TRUE,FALSE,NA,NA
"RT @RCORTESV: Evopoli, RN y UDI votaron en contra de crear comision investigadora de violaciones de ddhh #complicesculpables #EstoNoHaTermi…",FALSE,0,NA,2019-10-27T02:05:39Z,FALSE,NA,1188275537447444480,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kaminamii_,943,TRUE,FALSE,NA,NA
RT @MariaVillavizar: @Heryrevi @NicolasMaduro @CarnetDLaPatria @Patria_ve @1412Yolis @Vilma_Meche @1ChavistaMaduro @Deci3003 @serena_diaz90…,FALSE,0,NA,2019-10-27T02:05:39Z,FALSE,NA,1188275537271230465,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",remiltzimonarap,15,TRUE,FALSE,NA,NA
RT @jfgallardoperez: En #PuertoMontt    #EstoNoHaTerminado https://t.co/fdNdEKJvnn,FALSE,0,NA,2019-10-27T02:05:39Z,FALSE,NA,1188275537044803584,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",MaturanaCarola,77,TRUE,FALSE,NA,NA
RT @nicoleflancisca: #EstoNoHaTerminado https://t.co/4BbblOvWbZ,FALSE,0,NA,2019-10-27T02:05:39Z,FALSE,NA,1188275536742801408,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",junegarcia__,10,TRUE,FALSE,NA,NA
"RT @marcatuvoto: ""Libertad de Expresión y de Información"" by @PDI_CHILE @sebastianpinera 

#EstoNoHaTerminado https://t.co/TUVJVqke7K",FALSE,0,NA,2019-10-27T02:05:39Z,FALSE,NA,1188275534851182593,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Alearayaviacava,82,TRUE,FALSE,NA,NA
RT @maitechu_mia37: Esto pasó hoy en Plaza Italia. Brigada de Enfermería atacada por @Carabdechile mientras continuaban su labor de ayuda a…,FALSE,0,NA,2019-10-27T02:05:39Z,FALSE,NA,1188275534779863041,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",makkobae,1298,TRUE,FALSE,NA,NA
